prompts,answer
where is bloemfontein in africa,"Bloemfontein (, ; Dutch for ""fountain of flowers"") is the capital city of the Free State Province of South Africa ; and, as the judicial capital of the nation, one of South Africa's three national capitals – the other two being Cape Town , the legislative capital, and Pretoria , the administrative capital."
When Is Passover Over,"In Judaism , a day commences at dusk and lasts until the following dusk, thus the first day of Passover only begins after dusk of the 14th of Nisan and ends at dusk of the 15th day of the month of Nisan."
what is captcha code,A CAPTCHA () is a type of challenge-response test used in computing as an attempt to ensure that the response is generated by a human being .
where is valley village ca,"Village is a district in the San Fernando Valley region of Los Angeles, California ."
what is quasi judicial agency,"A quasi-judicial body is an entity such as an arbitrator or tribunal board, generally of a public administrative agency, which has powers and procedures resembling those of a court of law or judge , and which is obligated to objectively determine facts and draw conclusions from them so as to provide the basis of an official action."
what is lockton affinity,"Lockton Affinity: Lockton Affinity, an affiliate of Lockton Companies, meets the insurance needs of affinity groups, franchises, professional organizations, and associations of all sizes."
where is osaka japan,"is a city in the Kansai region of Japan's main island of Honshu , a designated city under the Local Autonomy Law , the capital city of Osaka Prefecture and also the largest part of the Keihanshin metropolis, which comprises three major cities of Japan, Kyoto , Osaka and Kobe ."
When was Apple Computer founded,"The company was founded on April 1, 1976, and incorporated as Apple Computer, Inc. on January 3, 1977."
what is section eight housing,"Section 8 of the Housing Act of 1937 (), often simply known as Section 8, as repeatedly amended, authorizes the payment of rental housing assistance to private landlords on behalf of approximately 3.1 million low-income households."
how did armando christian perez become famous,"Armando Pérez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer."
where is penn state stadium,"Beaver Stadium is an outdoor college football stadium in University Park , Pennsylvania , United States , on the campus of The Pennsylvania State University ."
what is associates arts degree,"An associate degree is an undergraduate academic degree awarded by community colleges , junior colleges , technical colleges, and bachelor's degree -granting colleges and universities upon completion of a course of study usually lasting two years."
what is IBRIX,"IBRIX Fusion is a scalable parallel file system combined with integrated logical volume manager , availability features and a management interface."
HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,"As such, African immigrants are to be distinguished from African American people, the latter of whom are descendants of mostly West and Central Africans who were involuntarily brought to the United States by means of the historic Atlantic slave trade ."
Puerto Rico experienced many landslides due to Hurricane Maria in,2017
Blood absorbs oxygen in the,organs that develop during childhood
what characterizes a cycle,a steady recurrence
Phase changing occurs when,jello mix is refrigerated
Humans grow thinner when they,lack food
Nutrients in soil,are passed on to the producer organisms
What action does sweat take once it forms?,it falls
Paleontologists study,Old Animal Feces
Flowers start die when,They are pulled from the ground
seeds may grow when,placed underground
A fan pushes air with,rotating flat surface
insulation for the purposes of moving electrons involves,insulation encompassed wire
Some monkey babies may be,taken care with two parents
Which event includes melting?,cooking in butter
Energy will be expended for,a monkey with a puncture wound to get better
A microscope creates clarity by,augmentation
trees will grow from,hack berries
A maglight puts out,a beam
A light using energy can cease that activity when,wall switch is adjusted
riding a bike helps prevent,environment harm
Some Eagles might even consume,Sloths
What scratches glass easily?,a crystal that regulates electronic oscillators in watches
An innate instinct could be,a dog drooling when it sees food
Falcons reside best in,Scottish moors
Who can hear sounds?,giraffes
Ethanol sometimes might be,concocted
Plate shifting likely directly created,the Alps
Which organism cannot specialize?,protozoa
Cocoon creation occurs,after the caterpillar stage
"""What color did Air France repaint some """"Concorde jets to advertize Pepsi?""",Blue
What oriental game comprises 144 tiles?,Mah-jong
Which battle does Anzac Day specifically commemorate?,Gallipoli
At which temperature do Fahrenheit and Celsius meet?,-40 degrees
Which Muslim free school in Derby was slated by Ofsted inspectors?,AL-MADINAH
Which Persian king invaded Greece to punish Athens?,Darius
Which Spaniard painted the Naked Maja?,Goya
Who wrote tyhe Barchester novels ?,ANTHONY TROLLOPE
Who exercises power in a stratocracy ?,THE MILITARY
Biblical hairshirt worn with ashes?,Sackcloth
"Everlast, Winning, and Grant are famous equipment brands for?",Boxing
Fantastic food drinks atmosphere !!!,
Permanently closed!,
"Since Ancient Rome, lime mortar (masonry cement) includes for reinforcement/moisture flexibility?",Horse hair
Who played Cathy in Ken Loach’s ground-breaking drama Cathy Come Home?,Carol White
People eating meals or snacks containing substances are further processed in the,gastro tract
What did Heike Kamerlingh-Onnes discover?,Superconductivity
Radioactive decay of naturally occurring Uranium eventually concludes as?,Lead
"The following were influential in developing which subject in China: Liu Hui, Zu Geng, Li Chunfeng, Yang Hui, Shen Kuo, Liu Xin, Zhang Heng, Liu Hui, Zu Chongzhi and Wang Xiaotong?",Mathematics
"The international corporate brands Slacker, Rdio and Spotify deliver primarily what services/product?",Music
"Agulhas, Kuroshio, Benguela, Canary and Humboldt are?",Ocean currents
What historic UK county part-comprises East Ridings and West Ridings? Northumberland; Yokshire; Kent; or Cork?,Yorkshire
how deep can be drill for deep underwater,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.
how do forensic auditors examine financial reporting,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework."
how did mohammed gandhi die,He was assassinated on 30 January 1948 by Nathuram Godse who thought Gandhi was too sympathetic to India's Muslims.
what artist have song with ashanti?,"Ashanti wrote and sang background on Jennifer Lopez 's "" Ain't It Funny (Murder Remix) "", which reached number one on Billboard Hot 100, which was also in the top 10 chart at the same time as ""Foolish"", ""Always on Time"" (with Ja Rule ), and ""What's Luv"" (with Fat Joe )."
what do jehovah witnesses believe,"Jehovah's Witnesses' beliefs are based on their interpretations of the Bible and they prefer to use their own translation, the New World Translation of the Holy Scriptures ."
what is .17 hmr caliber,".17 Hornady Magnum Rimfire, commonly known as the .17 HMR, is a rimfire rifle cartridge developed by the ammunition company Hornady in 2002."
what town is laurel hollow ny in,"Laurel Hollow is a village in the Town of Oyster Bay in Nassau County, New York in the United States ."
when did kurt cobain kill himself,"On April 8, 1994, Cobain was found dead at his home in Seattle , the victim of what was officially ruled a suicide by a self-inflicted shotgun wound to the head."
when was jacques cousteau born,"Jacques-Yves Cousteau (; commonly known in English as Jacques Cousteau; 11 June 1910 – 25 June 1997) was a French naval officer, explorer , conservationist , filmmaker, innovator, scientist, photographer, author and researcher who studied the sea and all forms of life in water."
where is rashard lewis from???,"Rashard Quovon Lewis (born August 8, 1979 in Pineville, Louisiana ) is an American professional basketball player who currently plays for the Miami Heat of the NBA ."
What harmful phenomenon can cause atmospheric warming?,gasses with pollution
Smoking can also effect what besides themselves,Jonny and Susie
If steam chills then the vapor will,thicken
Animals the exemplify relationship behaviors are,killdeer
usually plants die or become dormant after the,lowest solstice
What stimulants taste buds sour and,sucrose
A rabbit receives his essential elements from his,circulation system
Which sustains life yet stopped growing?,a felled tree
Pit bulls thin their thicker coats by,shedding
What does Q mean in FAQ?,Question
Who wrote Twenty Years Before The Mast?,Charles Erskine
How many lions guard Nelson's Column?,Four
Who has friends Chris Rabbit and Mosey Mouse and enemies Farmer Giles and Rum Baa Baa?,Henry's Cat.
Sorted for Es and Whizz?,Pulp
The tragic videoed killing of Neda Agha-Soltan became iconic following what city's demonstrations?,Tehran
What did Little Bo Peep lose?,Sheep
What machine separates grain from its stalk?,Thresher
Closed rip..........  Available sign.........,
"What main religion celebrates festivals including Nuakhai, Yatra (or Zatra/Jatra), Pongal, Holi and Shigmo?",Hindu
WHAT IS THE LENGTH OF A NAUTICAL MILE,"By international agreement it has been set at 1,852 metres exactly (about 6,076 feet)."
What prohibits cells from contorting into deformed shapes?,the thin membrane which surrounds them
"In the intermediary before rain falls, observers may note",menacing skies
Lodestones sharply yank metal nails because of,allure
Your body goes into starvation mode when you insufficient amounts of,sustenance
Which Iowa-born artist painted American Gothic and Spring Turning?,Grant Wood
Which Austrian wrote The Psychopathology of Everyday Life?,Freud
Which physical disability is called medically ‘talipes’?,Club Foot
HMV (His Master's Voice) early logo?,Nipper
A modern 'balance bicycle' is purpose-designed for?,Children
The element Silcon is vaguely yet generally categorized as?,Non-metal/metalloid
What geometrical shape most closely approximates India?,Triangle
thermal energy insulators are often good electrical insulators like:,the rubber sandwiched between two iron slabs
BBC TV science presenter Brian Cox played keyboards with which nineties band ?,D-REAM
"Isolation, quarantine, or secrecy - from Persian/Urdu?",Purdah
The bay leaf plant originated what term of glory or repute?,Laureate
Apple Inc's 'digital wallet' virtual banking service is called Apple?,Pay
Araneus diadematus is the widely-found European garden?,Spider
"Letter, Legal, Executive, Ledger/Tabloid are N American?",Paper sizes
What architect and peer accused Prince Charles of unconstitutional abuse of power?,Richard Rogers
The Garonne river passes through Toulouse and Bordeaux after rising where?,The Pyrenees
"The brands Daiwa, Drennan, Hardy, and Berkley famously involve?",Fishing
